"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US260650017031","Block Group 1, Census Tract 17.03, Ingham County, Michigan","1124","263","585","172","248","109","0","11","11","19","0","11","151","141","129","113","94","114","35","40",
"1500000US260650017032","Block Group 2, Census Tract 17.03, Ingham County, Michigan","2069","518","1192","433","614","231","0","11","130","164","0","11","39","44","94","113","0","11","94","113",
"1500000US260650017033","Block Group 3, Census Tract 17.03, Ingham County, Michigan","1178","330","624","259","447","180","0","11","0","11","0","11","0","11","107","98","0","11","107","98",
"1500000US260650036011","Block Group 1, Census Tract 36.01, Ingham County, Michigan","987","300","318","135","385","234","0","11","118","142","0","11","42","43","124","74","21","32","103","69",
"1500000US260650036012","Block Group 2, Census Tract 36.01, Ingham County, Michigan","1315","356","381","165","727","319","24","32","47","103","0","11","83","66","53","85","0","11","53","85",
"1500000US260650036013","Block Group 3, Census Tract 36.01, Ingham County, Michigan","1411","493","440","227","634","281","0","11","220","234","0","11","0","11","117","150","0","11","117","150",
"1500000US260650036021","Block Group 1, Census Tract 36.02, Ingham County, Michigan","957","318","595","183","304","255","0","11","0","11","0","11","0","11","58","95","0","11","58","95",
"1500000US260650036022","Block Group 2, Census Tract 36.02, Ingham County, Michigan","1656","419","479","198","680","295","22","30","460","304","0","11","15","21","0","11","0","11","0","11",
"1500000US260650036023","Block Group 3, Census Tract 36.02, Ingham County, Michigan","1379","564","521","394","503","198","0","11","9","15","0","11","328","367","18","20","0","11","18","20",
"1500000US260650037003","Block Group 3, Census Tract 37, Ingham County, Michigan","1178","320","593","207","439","286","0","11","0","11","0","11","0","11","146","147","31","49","115","133",
"1500000US260650037004","Block Group 4, Census Tract 37, Ingham County, Michigan","1351","454","564","228","441","295","0","11","12","19","0","11","116","181","218","176","78","115","140","132",
"1500000US260650037005","Block Group 5, Census Tract 37, Ingham County, Michigan","682","295","380","128","27","41","0","11","205","290","0","11","0","11","70","71","0","11","70","71",
"1500000US260650051001","Block Group 1, Census Tract 51, Ingham County, Michigan","1130","302","900","284","93","88","3","4","24","38","0","11","19","30","91","64","0","11","91","64",
"1500000US260650051002","Block Group 2, Census Tract 51, Ingham County, Michigan","1601","505","806","344","434","275","0","11","66","102","0","11","0","11","295","237","181","220","114","96",
"1500000US260650051003","Block Group 3, Census Tract 51, Ingham County, Michigan","902","319","372","154","529","266","1","2","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650052011","Block Group 1, Census Tract 52.01, Ingham County, Michigan","1113","305","658","207","365","228","0","11","0","11","0","11","11","20","79","88","28","44","51","80",
"1500000US260650052012","Block Group 2, Census Tract 52.01, Ingham County, Michigan","1009","307","829","273","94","108","13","20","0","11","0","11","0","11","73","85","0","11","73","85",
"1500000US260650052013","Block Group 3, Census Tract 52.01, Ingham County, Michigan","1009","346","668","300","225","204","0","11","3","7","0","11","34","70","79","78","0","11","79","78",
"1500000US260650052014","Block Group 4, Census Tract 52.01, Ingham County, Michigan","892","263","758","276","102","104","0","11","32","50","0","11","0","11","0","11","0","11","0","11",
"1500000US260650052015","Block Group 5, Census Tract 52.01, Ingham County, Michigan","1631","580","846","308","431","239","0","11","246","348","0","11","34","52","74","90","0","11","74","90",
"1500000US260650070001","Block Group 1, Census Tract 70, Ingham County, Michigan","845","367","558","217","287","311","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070002","Block Group 2, Census Tract 70, Ingham County, Michigan","397","212","386","215","11","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070004","Block Group 4, Census Tract 70, Ingham County, Michigan","992","383","643","316","322","259","0","11","0","11","0","11","0","11","27","42","0","11","27","42",
"1500000US260650070005","Block Group 5, Census Tract 70, Ingham County, Michigan","1288","370","963","238","236","254","0","11","0","11","0","11","0","11","89","103","0","11","89","103",
