"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1500000US260650017031","Block Group 1; Census Tract 17.03; Ingham County; Michigan","1263","275","930","268","98","70","0","11","48","88","0","11","94","90","93","74","0","11","93","74",
"1500000US260650017032","Block Group 2; Census Tract 17.03; Ingham County; Michigan","1595","498","991","401","454","238","0","11","48","75","0","11","20","32","82","112","32","59","50","87",
"1500000US260650017033","Block Group 3; Census Tract 17.03; Ingham County; Michigan","1469","406","564","280","229","132","0","11","27","46","0","11","162","289","487","366","17","26","470","363",
"1500000US260650036011","Block Group 1; Census Tract 36.01; Ingham County; Michigan","834","294","271","126","247","162","0","11","73","109","0","11","19","31","224","171","0","11","224","171",
"1500000US260650036012","Block Group 2; Census Tract 36.01; Ingham County; Michigan","1079","412","283","159","430","318","0","11","0","11","0","11","35","71","331","202","153","149","178","170",
"1500000US260650036013","Block Group 3; Census Tract 36.01; Ingham County; Michigan","1945","609","582","258","1014","520","0","11","177","185","0","11","34","40","138","118","44","46","94","117",
"1500000US260650036021","Block Group 1; Census Tract 36.02; Ingham County; Michigan","1320","353","540","216","102","118","43","65","529","275","0","11","17","24","89","91","12","19","77","89",
"1500000US260650036022","Block Group 2; Census Tract 36.02; Ingham County; Michigan","986","315","348","163","167","92","182","264","85","90","0","11","60","59","144","122","42","43","102","105",
"1500000US260650036023","Block Group 3; Census Tract 36.02; Ingham County; Michigan","1061","543","552","372","157","215","0","11","0","11","0","11","313","376","39","36","29","33","10","16",
"1500000US260650037003","Block Group 3; Census Tract 37; Ingham County; Michigan","771","427","386","226","54","69","0","11","331","293","0","11","0","11","0","11","0","11","0","11",
"1500000US260650037004","Block Group 4; Census Tract 37; Ingham County; Michigan","1797","1002","865","505","206","173","181","164","0","11","0","11","398","602","147","149","85","133","62","65",
"1500000US260650037005","Block Group 5; Census Tract 37; Ingham County; Michigan","684","299","529","253","0","11","0","11","0","11","0","11","98","129","57","111","57","111","0","11",
"1500000US260650051001","Block Group 1; Census Tract 51; Ingham County; Michigan","769","322","493","294","36","44","56","33","31","54","0","11","71","89","82","106","18","26","64","101",
"1500000US260650051002","Block Group 2; Census Tract 51; Ingham County; Michigan","1250","490","525","283","281","292","0","11","5","11","0","11","16","30","423","316","242","270","181","170",
"1500000US260650051003","Block Group 3; Census Tract 51; Ingham County; Michigan","1027","535","198","131","777","433","1","2","0","11","0","11","7","13","44","68","7","58","37","46",
"1500000US260650052011","Block Group 1; Census Tract 52.01; Ingham County; Michigan","1017","540","382","213","519","477","0","11","0","11","0","11","0","11","116","158","61","77","55","87",
"1500000US260650052012","Block Group 2; Census Tract 52.01; Ingham County; Michigan","1361","466","719","398","492","350","0","11","47","71","0","11","0","11","103","121","0","11","103","121",
"1500000US260650052013","Block Group 3; Census Tract 52.01; Ingham County; Michigan","921","468","448","302","326","201","0","11","0","11","0","11","0","11","147","206","147","206","0","11",
"1500000US260650052014","Block Group 4; Census Tract 52.01; Ingham County; Michigan","1285","480","783","312","40","62","0","11","431","486","0","11","0","11","31","49","31","49","0","11",
"1500000US260650052015","Block Group 5; Census Tract 52.01; Ingham County; Michigan","566","362","172","101","63","67","0","11","285","340","0","11","16","29","30","34","14","22","16","27",
"1500000US260650070001","Block Group 1; Census Tract 70; Ingham County; Michigan","815","385","430","224","349","319","0","11","0","11","0","11","36","53","0","11","0","11","0","11",
"1500000US260650070002","Block Group 2; Census Tract 70; Ingham County; Michigan","323","201","160","68","27","45","0","11","0","11","0","11","0","11","136","157","0","11","136","157",
"1500000US260650070004","Block Group 4; Census Tract 70; Ingham County; Michigan","769","286","423","165","109","109","0","11","0","11","0","11","0","11","237","145","237","145","0","11",
"1500000US260650070005","Block Group 5; Census Tract 70; Ingham County; Michigan","1609","680","831","386","578","511","0","11","147","226","0","11","0","11","53","86","0","11","53","86",
