"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Percent of enrolled population !!In public school!!Estimate","Lansing city, Michigan!!Percent of enrolled population !!In public school!!Margin of Error","Lansing city, Michigan!!Percent of enrolled population !!In private school!!Estimate","Lansing city, Michigan!!Percent of enrolled population !!In private school!!Margin of Error"
"Population 3 years and over enrolled in school","35,522","±2,628","86.5%","±2.9","13.5%","±2.9"
"Nursery school, preschool","967","±463","69.9%","±22.1","30.1%","±22.1"
"Kindergarten to 12th grade","19,019","±1,677","92.6%","±3.4","7.4%","±3.4"
"    Kindergarten","1,718","±543","81.5%","±16.7","18.5%","±16.7"
"    Elementary: grade 1 to grade 4","5,659","±962","94.1%","±3.3","5.9%","±3.3"
"    Elementary: grade 5 to grade 8","5,875","±999","91.5%","±6.0","8.5%","±6.0"
"    High school: grade 9 to grade 12","5,767","±1,074","95.5%","±3.8","4.5%","±3.8"
"College, undergraduate","12,016","±2,079","88.5%","±5.6","11.5%","±5.6"
"Graduate, professional school","3,520","±953","50.9%","±12.6","49.1%","±12.6"
"Percent of age group enrolled in school --","","","","","",""
"    3 and 4 years","21.8%","±11.9","67.2%","±28.8","32.8%","±28.8"
"    5 to 9 years","98.8%","±1.4","90.0%","±5.5","10.0%","±5.5"
"    10 to 14 years","96.6%","±3.0","93.2%","±5.0","6.8%","±5.0"
"    15 to 17 years","89.6%","±9.8","92.0%","±6.2","8.0%","±6.2"
"    18 and 19 years","69.1%","±16.1","96.3%","±5.6","3.7%","±5.6"
"    20 to 24 years","58.5%","±10.3","79.4%","±10.2","20.6%","±10.2"
"    25 to 34 years","29.4%","±4.9","79.1%","±9.5","20.9%","±9.5"
"    35 years and over","5.4%","±1.5","81.1%","±13.0","18.9%","±13.0"
"Population 18 years and over","86,628","±1,647","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","17.9%","±2.3","80.0%","±5.4","20.0%","±5.4"
"    Males 18 years and over","40,896","±1,508","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","17.5%","±3.1","80.9%","±7.5","19.1%","±7.5"
"    Females 18 years and over","45,732","±1,440","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","18.4%","±3.0","79.2%","±8.1","20.8%","±8.1"
"Population 18 to 24 years","14,103","±1,896","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","50.2%","±8.8","80.5%","±8.8","19.5%","±8.8"
"    Males 18 to 24 years","7,358","±1,212","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","46.4%","±10.8","85.6%","±10.2","14.4%","±10.2"
"    Females 18 to 24 years","6,745","±1,358","(X)","(X)","(X)","(X)"
"Enrolled in college or graduate school","54.3%","±10.9","75.8%","±16.9","24.2%","±16.9"
"PERCENT IMPUTED","","","","","",""
"    School enrollment","4.2%","(X)","(X)","(X)","(X)","(X)"
"    Grade enrolled","4.0%","(X)","(X)","(X)","(X)","(X)"
