"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Below poverty level!!Estimate","Lansing city, Michigan!!Below poverty level!!Margin of Error","Lansing city, Michigan!!Percent below poverty level!!Estimate","Lansing city, Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","113,778","±1,270","30,625","±3,906","26.9%","±3.4"
"AGE","","","","","",""
"    Under 18 years","27,181","±1,610","10,293","±2,141","37.9%","±7.4"
"        Related children under 18 years","26,961","±1,671","10,237","±2,140","38.0%","±7.5"
"    18 to 64 years","76,013","±1,708","19,411","±2,418","25.5%","±3.1"
"    65 years and over","10,584","±1,410","921","±383","8.7%","±3.6"
"SEX","","","","","",""
"    Male","56,043","±1,669","13,985","±2,222","25.0%","±3.8"
"    Female","57,735","±1,760","16,640","±2,268","28.8%","±3.9"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"    One race","N","N","N","N","N","N"
"        White","68,229","±2,827","14,021","±2,863","20.5%","±4.0"
"        Black or African American","27,075","±2,315","11,284","±2,829","41.7%","±8.8"
"        American Indian and Alaska Native","N","N","N","N","N","N"
"        Asian","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N"
"    Two or more races","8,714","±1,707","3,180","±1,710","36.5%","±16.4"
"Hispanic or Latino origin (of any race)","14,998","±1,828","4,702","±1,737","31.4%","±10.5"
"White alone, not Hispanic or Latino","60,638","±2,364","10,568","±2,050","17.4%","±3.4"
"EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over","72,494","±2,259","13,327","±1,774","18.4%","±2.4"
"    Less than high school graduate","9,997","±1,621","3,372","±900","33.7%","±7.8"
"    High school graduate (includes equivalency)","17,516","±2,104","3,737","±984","21.3%","±5.5"
"    Some college, associate's degree","28,934","±2,192","4,856","±1,240","16.8%","±4.0"
"    Bachelor's degree or higher","16,047","±1,886","1,362","±602","8.5%","±3.7"
"EMPLOYMENT STATUS","","","","","",""
"    Civilian labor force 16 years and over","60,314","±2,559","12,468","±2,237","20.7%","±3.4"
"    Employed","50,537","±2,713","8,600","±1,859","17.0%","±3.4"
"        Male","24,516","±1,853","3,216","±1,103","13.1%","±4.2"
"        Female","26,021","±1,984","5,384","±1,249","20.7%","±4.3"
"    Unemployed","9,777","±1,669","3,868","±1,288","39.6%","±8.9"
"        Male","5,749","±1,155","2,452","±891","42.7%","±10.7"
"        Female","4,028","±1,020","1,416","±666","35.2%","±11.9"
"WORK EXPERIENCE","","","","","",""
"    Population 16 years and over","89,151","±1,715","20,890","±2,496","23.4%","±2.8"
"    Worked full-time, year-round in the past 12 months","29,077","±2,307","1,188","±696","4.1%","±2.3"
"    Worked part-time or part-year in the past 12 months","29,201","±2,364","9,689","±1,972","33.2%","±5.5"
"    Did not work","30,873","±2,627","10,013","±1,906","32.4%","±5.3"
"All Individuals below:","","","","","",""
"    50 percent of poverty level","16,381","±3,847","(X)","(X)","(X)","(X)"
"    125 percent of poverty level","38,318","±4,523","(X)","(X)","(X)","(X)"
"    150 percent of poverty level","43,481","±4,592","(X)","(X)","(X)","(X)"
"    185 percent of poverty level","51,133","±4,560","(X)","(X)","(X)","(X)"
"    200 percent of poverty level","55,520","±4,045","(X)","(X)","(X)","(X)"
"Unrelated individuals for whom poverty status is determined","30,077","±2,590","10,490","±1,724","34.9%","±4.5"
"Male","14,786","±1,739","4,765","±1,214","32.2%","±6.9"
"Female","15,291","±1,842","5,725","±1,289","37.4%","±6.7"
"Mean income deficit for unrelated individuals (dollars)","5,904","±663","(X)","(X)","(X)","(X)"
"Worked full-time, year-round in the past 12 months","8,975","±1,396","365","±309","4.1%","±3.3"
"Worked less than full-time, year-round in the past 12 months","10,434","±2,008","5,230","±1,449","50.1%","±8.7"
"Did not work","10,668","±1,819","4,895","±1,266","45.9%","±7.6"
"PERCENT IMPUTED","","","","","",""
"    Poverty status for individuals","21.1%","(X)","(X)","(X)","(X)","(X)"
