"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Mean income (dollars)!!Estimate","Lansing city, Michigan!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","",""
"All households","48,949","±1,551","42,727","±1,906"
"With earnings","76.2%","±3.0","41,996","±2,679"
"With interest, dividends, or net rental income","18.6%","±2.7","3,547","±1,259"
"With Social Security income","23.7%","±2.6","15,566","±1,204"
"With Supplemental Security Income (SSI)","7.6%","±1.9","9,340","±1,052"
"With cash public assistance income","6.0%","±1.6","2,256","±622"
"With retirement income","16.6%","±2.2","20,664","±2,347"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","",""
"    All families","27,822","±1,550","50,837","±3,605"
"    No workers","16.6%","±3.2","29,996","±5,024"
"    1 worker","39.2%","±4.4","36,269","±5,167"
"    2 workers, husband and wife worked","25.5%","±3.5","73,938","±7,283"
"    2 workers, other","9.2%","±2.8","53,892","±13,851"
"    3 or more workers, husband and wife worked","7.0%","±2.3","86,399","±11,144"
"    3 or more workers, other","2.5%","±1.4","70,604","±18,867"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    Total population","114,017","±1,245","18,413","±880"
"    One race--","","","",""
"        White","60.0%","±2.3","21,716","±1,282"
"        Black or African American","23.8%","±2.0","14,953","±1,769"
"        American Indian and Alaska Native","0.8%","±0.4","20,685","±15,400"
"        Asian","3.5%","±1.2","13,114","±4,781"
"        Native Hawaiian and Other Pacific Islander","0.0%","±0.1","N","N"
"        Some other race","4.3%","±1.4","16,637","±3,054"
"    Two or more races","7.6%","±1.5","6,405","±2,033"
"Hispanic or Latino origin (of any race)","13.2%","±1.6","11,680","±1,835"
"White alone, not Hispanic or Latino","53.3%","±2.0","23,183","±1,248"
"PERCENT IMPUTED","","","",""
"    Household income in the past 12 months","27.5%","(X)","(X)","(X)"
"    Family income in the past 12 months","29.0%","(X)","(X)","(X)"
"    Individual income in the past 12 months","19.6%","(X)","(X)","(X)"
