"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!In labor force!!Estimate","Lansing city, Michigan!!In labor force!!Margin of Error","Lansing city, Michigan!!Employed!!Estimate","Lansing city, Michigan!!Employed!!Margin of Error","Lansing city, Michigan!!Unemployment rate!!Estimate","Lansing city, Michigan!!Unemployment rate!!Margin of Error"
"Population 16 years and over","89,182","±1,717","67.7%","±2.8","56.7%","±2.9","16.2%","±2.7"
"AGE","","","","","","","",""
"    16 to 19 years","5,944","±1,148","56.2%","±13.4","31.9%","±9.7","43.2%","±11.6"
"    20 to 24 years","10,713","±1,730","81.9%","±6.4","66.8%","±9.2","18.5%","±9.3"
"    25 to 44 years","34,281","±2,004","84.3%","±3.3","69.6%","±4.0","17.1%","±3.1"
"    45 to 54 years","14,076","±1,399","75.6%","±4.9","67.2%","±4.5","11.1%","±3.8"
"    55 to 64 years","13,553","±1,451","54.3%","±6.1","50.4%","±6.2","7.1%","±4.4"
"    65 to 74 years","5,650","±920","22.0%","±8.6","20.6%","±8.1","6.3%","±10.0"
"    75 years and over","4,965","±1,193","3.3%","±3.4","3.3%","±3.4","0.0%","±47.3"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","57,482","±2,406","66.9%","±3.3","58.2%","±3.4","12.7%","±2.7"
"        Black or African American","19,885","±1,413","68.8%","±4.5","50.6%","±5.8","26.5%","±7.5"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N"
"        Asian","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","N","N","N","N","N","N","N","N"
"Hispanic or Latino origin (of any race)","9,917","±1,321","59.7%","±6.5","50.0%","±7.4","15.5%","±8.0"
"White alone, not Hispanic or Latino","52,345","±2,042","68.9%","±3.4","60.7%","±3.5","11.7%","±2.6"
"Population 20 to 64 years","72,623","±1,803","76.7%","±2.4","65.1%","±3.1","14.9%","±2.6"
"SEX","","","","","","","",""
"    Male","34,639","±1,449","80.7%","±3.3","66.3%","±4.5","17.6%","±3.8"
"    Female","37,984","±1,559","73.0%","±3.8","64.1%","±4.1","12.1%","±3.0"
"        With own children under 6 years","7,053","±1,222","72.6%","±8.6","61.1%","±7.9","15.9%","±6.7"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Below poverty level","18,306","±2,268","62.1%","±6.8","44.1%","±7.7","29.0%","±8.4"
"DISABILITY STATUS","","","","","","","",""
"    With any disability","11,508","±1,792","43.7%","±6.9","30.1%","±6.2","31.0%","±10.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 to 64 years","61,910","±2,079","75.7%","±2.6","64.9%","±2.9","14.2%","±2.2"
"    Less than high school graduate","7,493","±1,388","67.1%","±8.1","44.0%","±8.9","34.4%","±9.2"
"    High school graduate (includes equivalency)","13,878","±1,868","68.9%","±6.0","58.2%","±7.0","15.6%","±5.9"
"    Some college or associate's degree","25,881","±2,109","78.3%","±3.6","67.8%","±4.0","12.9%","±3.3"
"    Bachelor's degree or higher","14,658","±1,780","82.1%","±4.7","76.6%","±4.9","6.7%","±2.8"
"PERCENT IMPUTED","","","","","","","",""
"    Employment status for population 16 years and over","4.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
