"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Percent!!Estimate","Lansing city, Michigan!!Percent!!Margin of Error","Lansing city, Michigan!!Male!!Estimate","Lansing city, Michigan!!Male!!Margin of Error","Lansing city, Michigan!!Percent Male!!Estimate","Lansing city, Michigan!!Percent Male!!Margin of Error","Lansing city, Michigan!!Female!!Estimate","Lansing city, Michigan!!Female!!Margin of Error","Lansing city, Michigan!!Percent Female!!Estimate","Lansing city, Michigan!!Percent Female!!Margin of Error"
"Total population","117,488","±90","(X)","(X)","57,278","±913","(X)","(X)","60,210","±914","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","8,055","±531","6.9%","±0.5","4,494","±369","7.8%","±0.6","3,561","±324","5.9%","±0.5"
"        5 to 9 years","8,001","±538","6.8%","±0.5","4,254","±498","7.4%","±0.9","3,747","±378","6.2%","±0.6"
"        10 to 14 years","7,231","±473","6.2%","±0.4","3,454","±430","6.0%","±0.7","3,777","±371","6.3%","±0.6"
"        15 to 19 years","6,394","±546","5.4%","±0.5","3,166","±334","5.5%","±0.6","3,228","±376","5.4%","±0.6"
"        20 to 24 years","11,550","±872","9.8%","±0.7","5,771","±540","10.1%","±0.9","5,779","±673","9.6%","±1.1"
"        25 to 29 years","12,137","±618","10.3%","±0.5","6,115","±419","10.7%","±0.7","6,022","±401","10.0%","±0.7"
"        30 to 34 years","9,563","±549","8.1%","±0.5","4,699","±368","8.2%","±0.7","4,864","±341","8.1%","±0.6"
"        35 to 39 years","8,247","±576","7.0%","±0.5","4,224","±458","7.4%","±0.8","4,023","±360","6.7%","±0.6"
"        40 to 44 years","6,255","±567","5.3%","±0.5","3,112","±390","5.4%","±0.7","3,143","±364","5.2%","±0.6"
"        45 to 49 years","6,551","±533","5.6%","±0.5","3,049","±311","5.3%","±0.5","3,502","±365","5.8%","±0.6"
"        50 to 54 years","6,319","±523","5.4%","±0.4","2,925","±316","5.1%","±0.6","3,394","±339","5.6%","±0.6"
"        55 to 59 years","6,430","±542","5.5%","±0.5","3,181","±338","5.6%","±0.6","3,249","±357","5.4%","±0.6"
"        60 to 64 years","6,425","±652","5.5%","±0.6","2,635","±407","4.6%","±0.7","3,790","±426","6.3%","±0.7"
"        65 to 69 years","5,530","±483","4.7%","±0.4","2,788","±300","4.9%","±0.5","2,742","±343","4.6%","±0.6"
"        70 to 74 years","3,583","±383","3.0%","±0.3","1,480","±245","2.6%","±0.4","2,103","±310","3.5%","±0.5"
"        75 to 79 years","2,193","±285","1.9%","±0.2","893","±132","1.6%","±0.2","1,300","±232","2.2%","±0.4"
"        80 to 84 years","1,115","±197","0.9%","±0.2","337","±120","0.6%","±0.2","778","±156","1.3%","±0.3"
"        85 years and over","1,909","±420","1.6%","±0.4","701","±278","1.2%","±0.5","1,208","±248","2.0%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","15,232","±669","13.0%","±0.6","7,708","±463","13.5%","±0.8","7,524","±464","12.5%","±0.7"
"        15 to 17 years","3,980","±340","3.4%","±0.3","2,086","±215","3.6%","±0.4","1,894","±274","3.1%","±0.5"
"        Under 18 years","27,267","±810","23.2%","±0.7","14,288","±605","24.9%","±1.0","12,979","±637","21.6%","±1.0"
"        18 to 24 years","13,964","±927","11.9%","±0.8","6,851","±584","12.0%","±1.0","7,113","±706","11.8%","±1.1"
"        15 to 44 years","54,146","±831","46.1%","±0.7","27,087","±816","47.3%","±1.2","27,059","±841","44.9%","±1.1"
"        16 years and over","93,099","±842","79.2%","±0.7","44,381","±913","77.5%","±1.0","48,718","±879","80.9%","±0.9"
"        18 years and over","90,221","±813","76.8%","±0.7","42,990","±896","75.1%","±1.0","47,231","±895","78.4%","±1.0"
"        21 years and over","85,683","±972","72.9%","±0.8","40,970","±918","71.5%","±1.1","44,713","±890","74.3%","±1.0"
"        60 years and over","20,755","±974","17.7%","±0.8","8,834","±594","15.4%","±1.0","11,921","±640","19.8%","±1.1"
"        62 years and over","18,230","±915","15.5%","±0.8","7,810","±571","13.6%","±1.0","10,420","±590","17.3%","±1.1"
"        65 years and over","14,330","±737","12.2%","±0.6","6,199","±421","10.8%","±0.7","8,131","±508","13.5%","±0.9"
"        75 years and over","5,217","±502","4.4%","±0.4","1,931","±307","3.4%","±0.5","3,286","±317","5.5%","±0.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","32.7","±0.7","(X)","(X)","31.3","±0.6","(X)","(X)","34.0","±0.9","(X)","(X)"
"        Sex ratio (males per 100 females)","95.1","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","54.8","±1.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","18.9","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.9","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
