"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Now married (except separated)!!Estimate","Lansing city, Michigan!!Now married (except separated)!!Margin of Error","Lansing city, Michigan!!Widowed!!Estimate","Lansing city, Michigan!!Widowed!!Margin of Error","Lansing city, Michigan!!Divorced!!Estimate","Lansing city, Michigan!!Divorced!!Margin of Error","Lansing city, Michigan!!Separated!!Estimate","Lansing city, Michigan!!Separated!!Margin of Error","Lansing city, Michigan!!Never married!!Estimate","Lansing city, Michigan!!Never married!!Margin of Error"
"Population 15 years and over","94,201","±827","34.2%","±1.6","4.9%","±0.6","15.0%","±0.9","1.4%","±0.3","44.5%","±1.4"
"    AGE AND SEX","","","","","","","","","","","",""
"        Males 15 years and over","45,076","±915","34.7%","±1.8","2.3%","±0.6","13.1%","±1.2","1.1%","±0.4","48.8%","±1.9"
"            15 to 19 years","3,166","±334","0.0%","±0.9","0.0%","±0.9","0.3%","±0.5","0.0%","±0.9","99.7%","±0.5"
"            20 to 34 years","16,585","±705","21.3%","±3.4","0.1%","±0.1","2.7%","±1.0","0.7%","±0.4","75.2%","±3.4"
"            35 to 44 years","7,336","±411","46.4%","±4.8","0.0%","±0.4","15.4%","±3.9","2.2%","±1.4","36.0%","±4.6"
"            45 to 54 years","5,974","±403","43.1%","±4.7","1.0%","±0.7","28.7%","±4.9","0.9%","±0.6","26.3%","±4.8"
"            55 to 64 years","5,816","±441","46.7%","±4.2","3.6%","±1.5","23.0%","±3.3","2.0%","±1.9","24.7%","±4.2"
"            65 years and over","6,199","±421","55.2%","±4.8","12.3%","±3.9","20.3%","±3.7","0.7%","±0.6","11.5%","±4.3"
"        Females 15 years and over","49,125","±869","33.7%","±1.7","7.3%","±0.9","16.8%","±1.0","1.7%","±0.4","40.5%","±1.6"
"            15 to 19 years","3,228","±376","0.4%","±0.4","0.0%","±0.8","0.0%","±0.8","0.2%","±0.3","99.4%","±0.5"
"            20 to 34 years","16,665","±795","25.6%","±2.9","0.0%","±0.2","4.1%","±1.1","1.3%","±0.7","68.9%","±2.9"
"            35 to 44 years","7,166","±404","48.5%","±4.9","1.6%","±1.3","13.1%","±2.6","2.8%","±1.6","33.9%","±4.2"
"            45 to 54 years","6,896","±533","43.0%","±5.0","3.0%","±1.3","34.9%","±4.6","2.7%","±1.4","16.5%","±3.0"
"            55 to 64 years","7,039","±380","44.7%","±4.1","9.8%","±2.9","28.2%","±3.5","2.4%","±1.8","14.9%","±3.0"
"            65 years and over","8,131","±508","32.9%","±3.6","31.8%","±3.6","27.4%","±3.1","0.8%","±0.8","7.1%","±2.1"
"Population 15 years and over","94,201","±827","34.2%","±1.6","4.9%","±0.6","15.0%","±0.9","1.4%","±0.3","44.5%","±1.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"        One race","88,534","±1,007","35.2%","±1.6","5.1%","±0.7","15.3%","±0.9","1.5%","±0.4","42.9%","±1.5"
"            White","60,982","±1,416","35.2%","±2.1","5.7%","±0.8","16.9%","±1.2","1.6%","±0.4","40.7%","±1.6"
"            Black or African American","20,204","±1,107","31.3%","±3.3","4.0%","±0.9","13.3%","±2.2","1.2%","±0.6","50.2%","±3.7"
"            American Indian and Alaska Native","742","±196","22.5%","±9.1","14.8%","±7.9","28.7%","±12.2","5.4%","±7.5","28.6%","±11.2"
"            Asian","4,551","±673","45.0%","±5.7","1.6%","±1.4","3.9%","±1.8","1.0%","±1.2","48.5%","±5.5"
"            Native Hawaiian and Other Pacific Islander","46","±56","0.0%","±40.2","0.0%","±40.2","0.0%","±40.2","0.0%","±40.2","100.0%","±40.2"
"            Some other race","2,009","±426","60.4%","±8.9","2.1%","±2.0","9.6%","±4.5","0.3%","±0.6","27.7%","±7.2"
"        Two or more races","5,667","±664","17.6%","±5.0","2.5%","±1.3","10.5%","±3.1","0.2%","±0.2","69.1%","±5.4"
"        Hispanic or Latino origin (of any race)","11,383","±517","37.9%","±3.3","3.0%","±1.2","11.4%","±2.2","1.9%","±1.0","45.8%","±3.1"
"        White alone, not Hispanic or Latino","54,227","±1,388","34.8%","±2.3","6.1%","±0.9","17.6%","±1.3","1.5%","±0.4","40.1%","±1.7"
"LABOR FORCE PARTICIPATION","","","","","","","","","","","",""
"    Males 16 years and over","44,381","±913","35.3%","±1.8","2.4%","±0.6","13.3%","±1.2","1.1%","±0.5","48.0%","±1.9"
"        In labor force","31,098","±975","35.4%","±2.2","0.7%","±0.4","11.4%","±1.4","1.0%","±0.4","51.6%","±2.1"
"    Females 16 years and over","48,718","±879","34.0%","±1.7","7.4%","±1.0","16.9%","±1.0","1.7%","±0.4","40.0%","±1.6"
"        In labor force","31,600","±1,099","33.2%","±2.0","2.1%","±0.6","15.8%","±1.5","1.8%","±0.6","47.0%","±2.1"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Marital status","6.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
