"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Percent!!Estimate","Lansing city, Michigan!!Percent!!Margin of Error","Lansing city, Michigan!!In public school!!Estimate","Lansing city, Michigan!!In public school!!Margin of Error","Lansing city, Michigan!!Percent in public school!!Estimate","Lansing city, Michigan!!Percent in public school!!Margin of Error","Lansing city, Michigan!!In private school!!Estimate","Lansing city, Michigan!!In private school!!Margin of Error","Lansing city, Michigan!!Percent in private school!!Estimate","Lansing city, Michigan!!Percent in private school!!Margin of Error"
"Population 3 years and over enrolled in school","31,077","±1,134","(X)","(X)","(X)","(X)","91.3%","±1.2","(X)","(X)","8.7%","±1.2"
"    Nursery school, preschool","1,440","±292","4.6%","±1.0","1,051","±245","73.0%","±10.5","389","±176","27.0%","±10.5"
"    Kindergarten to 12th grade","19,323","±842","62.2%","±2.1","18,215","±851","94.3%","±1.3","1,108","±248","5.7%","±1.3"
"        Kindergarten","1,311","±250","4.2%","±0.8","1,270","±252","96.9%","±2.6","41","±33","3.1%","±2.6"
"        Elementary: grade 1 to grade 4","6,684","±577","21.5%","±1.7","6,225","±557","93.1%","±2.0","459","±137","6.9%","±2.0"
"        Elementary: grade 5 to grade 8","5,588","±495","18.0%","±1.5","5,221","±501","93.4%","±2.6","367","±145","6.6%","±2.6"
"        High school: grade 9 to grade 12","5,740","±532","18.5%","±1.7","5,499","±538","95.8%","±1.5","241","±84","4.2%","±1.5"
"    College, undergraduate","7,693","±790","24.8%","±2.1","6,809","±691","88.5%","±3.1","884","±272","11.5%","±3.1"
"    Graduate, professional school","2,621","±401","8.4%","±1.3","2,305","±397","87.9%","±4.3","316","±110","12.1%","±4.3"
"Population enrolled in college or graduate school","10,314","±840","33.2%","±2.0","9,114","±771","88.4%","±2.6","1,200","±291","11.6%","±2.6"
"    Males enrolled in college or graduate school","4,354","±586","28.6%","±2.9","4,016","±554","92.2%","±2.4","338","±112","7.8%","±2.4"
"    Females enrolled in college or graduate school","5,960","±670","37.6%","±3.0","5,098","±638","85.5%","±4.3","862","±270","14.5%","±4.3"
"Population 3 to 4 years","3,054","±406","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","1,269","±279","41.6%","±6.8","942","±236","74.2%","±11.2","327","±166","25.8%","±11.2"
"Population 5 to 9 years","8,001","±538","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","7,601","±554","95.0%","±3.2","7,067","±557","93.0%","±2.0","534","±148","7.0%","±2.0"
"Population 10 to 14 years","7,231","±473","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","7,002","±477","96.8%","±2.2","6,613","±490","94.4%","±2.0","389","±135","5.6%","±2.0"
"Population 15 to 17","3,980","±340","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","3,927","±345","98.7%","±1.2","3,723","±343","94.8%","±2.3","204","±89","5.2%","±2.3"
"Population 18 to 19 years","2,414","±377","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","1,513","±334","62.7%","±8.9","1,389","±311","91.8%","±5.4","124","±87","8.2%","±5.4"
"Population 20 to 24 years","11,550","±872","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","4,289","±611","37.1%","±4.9","3,885","±567","90.6%","±4.4","404","±201","9.4%","±4.4"
"Population 25 to 34 years","21,700","±818","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","3,742","±510","17.2%","±2.3","3,450","±490","92.2%","±3.2","292","±125","7.8%","±3.2"
"Population 35 years and over","54,557","±1,219","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","1,734","±352","3.2%","±0.6","1,311","±342","75.6%","±8.3","423","±139","24.4%","±8.3"
"Population 18 to 24 years","13,964","±927","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","4,828","±624","34.6%","±4.1","4,321","±569","89.5%","±4.3","507","±223","10.5%","±4.3"
"    Males 18 to 24 years","6,851","±584","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","1,982","±425","28.9%","±5.8","1,837","±387","92.7%","±3.2","145","±77","7.3%","±3.2"
"    Females 18 to 24 years","7,113","±706","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","2,846","±486","40.0%","±5.3","2,484","±443","87.3%","±6.6","362","±203","12.7%","±6.6"
