"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Speak only English at home!!Estimate","Lansing city, Michigan!!Speak only English at home!!Margin of Error","Lansing city, Michigan!!Percent speak only English at home!!Estimate","Lansing city, Michigan!!Percent speak only English at home!!Margin of Error","Lansing city, Michigan!!Speak a language other than English at home!!Total!!Estimate","Lansing city, Michigan!!Speak a language other than English at home!!Total!!Margin of Error","Lansing city, Michigan!!Speak a language other than English at home!!Percent!!Estimate","Lansing city, Michigan!!Speak a language other than English at home!!Percent!!Margin of Error","Lansing city, Michigan!!Speak a language other than English at home!!Speak Spanish at home!!Estimate","Lansing city, Michigan!!Speak a language other than English at home!!Speak Spanish at home!!Margin of Error","Lansing city, Michigan!!Speak a language other than English at home!!Percent speak Spanish at home!!Estimate","Lansing city, Michigan!!Speak a language other than English at home!!Percent speak Spanish at home!!Margin of Error"
"Total population 5 years and over","109,433","±538","93,588","±1,502","(X)","(X)","15,845","±1,569","(X)","(X)","5,789","±709","(X)","(X)"
"    AGE","","","","","","","","","","","","","",""
"        5 to 17 years","19,212","±709","15,974","±1,006","17.1%","±0.9","3,238","±772","20.4%","±3.6","809","±221","14.0%","±3.2"
"        18 to 64 years","75,891","±906","64,937","±1,320","69.4%","±1.0","10,954","±1,065","69.1%","±3.5","4,054","±571","70.0%","±4.1"
"        65 years and over","14,330","±737","12,677","±693","13.5%","±0.8","1,653","±246","10.4%","±1.7","926","±170","16.0%","±2.8"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"        Native","97,873","±1,350","91,882","±1,512","98.2%","±0.4","5,991","±740","37.8%","±3.9","3,414","±459","59.0%","±5.6"
"        Foreign born","11,560","±1,353","1,706","±329","1.8%","±0.4","9,854","±1,281","62.2%","±3.9","2,375","±487","41.0%","±5.6"
"            Naturalized U.S. citizen","4,911","±829","759","±233","0.8%","±0.2","4,152","±798","26.2%","±4.1","834","±234","14.4%","±3.8"
"            Not a U.S. citizen","6,649","±1,016","947","±237","1.0%","±0.3","5,702","±957","36.0%","±4.3","1,541","±423","26.6%","±5.6"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","",""
"    Population 5 years and over for whom poverty status is determined","108,693","±582","92,890","±1,498","(X)","(X)","15,803","±1,570","(X)","(X)","5,787","±709","(X)","(X)"
"        Below poverty level","24,011","±1,631","19,731","±1,522","21.2%","±1.5","4,280","±1,076","27.1%","±5.4","949","±274","16.4%","±4.8"
"        At or above poverty level","84,682","±1,688","73,159","±1,599","78.8%","±1.5","11,523","±1,187","72.9%","±5.4","4,838","±703","83.6%","±4.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"    Population 25 years and over","76,257","±1,143","65,639","±1,279","(X)","(X)","10,618","±887","(X)","(X)","4,396","±553","(X)","(X)"
"        Less than high school graduate","7,394","±642","4,928","±529","7.5%","±0.8","2,466","±391","23.2%","±3.3","992","±268","22.6%","±5.6"
"        High school graduate (includes equivalency)","20,099","±1,038","17,381","±1,021","26.5%","±1.5","2,718","±475","25.6%","±3.5","1,568","±346","35.7%","±5.8"
"        Some college or associate's degree","28,691","±1,404","26,089","±1,385","39.7%","±1.8","2,602","±436","24.5%","±3.4","1,012","±232","23.0%","±5.1"
"        Bachelor's degree or higher","20,073","±1,120","17,241","±1,066","26.3%","±1.6","2,832","±379","26.7%","±3.5","824","±219","18.7%","±4.1"
