"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Below poverty level!!Estimate","Lansing city, Michigan!!Below poverty level!!Margin of Error","Lansing city, Michigan!!Percent below poverty level!!Estimate","Lansing city, Michigan!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","116,362","±379","26,411","±1,866","22.7%","±1.6"
"    AGE","","","","","",""
"        Under 18 years","26,411","±858","8,803","±1,091","33.3%","±3.9"
"            Under 5 years","7,669","±497","2,400","±498","31.3%","±6.3"
"            5 to 17 years","18,742","±754","6,403","±841","34.2%","±4.2"
"            Related children of householder under 18 years","26,190","±857","8,591","±1,077","32.8%","±3.9"
"        18 to 64 years","75,736","±919","15,964","±1,105","21.1%","±1.5"
"            18 to 34 years","35,588","±1,010","9,058","±829","25.5%","±2.3"
"            35 to 64 years","40,148","±1,074","6,906","±678","17.2%","±1.6"
"        60 years and over","20,601","±962","2,901","±422","14.1%","±1.9"
"        65 years and over","14,215","±726","1,644","±272","11.6%","±1.8"
"    SEX","","","","","",""
"        Male","56,762","±941","12,439","±1,096","21.9%","±1.9"
"        Female","59,600","±919","13,972","±1,107","23.4%","±1.9"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","70,928","±1,616","12,936","±1,220","18.2%","±1.6"
"        Black or African American alone","27,012","±1,458","7,649","±1,156","28.3%","±3.8"
"        American Indian and Alaska Native alone","826","±225","227","±135","27.5%","±12.2"
"        Asian alone","5,536","±877","1,403","±472","25.3%","±7.7"
"        Native Hawaiian and Other Pacific Islander alone","46","±56","0","±26","0.0%","±40.2"
"        Some other race alone","2,531","±641","253","±134","10.0%","±5.2"
"        Two or more races","9,483","±1,069","3,943","±939","41.6%","±7.2"
"        Hispanic or Latino origin (of any race)","15,260","±685","3,104","±630","20.3%","±4.1"
"        White alone, not Hispanic or Latino","62,279","±1,521","11,222","±1,135","18.0%","±1.8"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","76,009","±1,149","13,018","±906","17.1%","±1.2"
"            Less than high school graduate","7,341","±646","2,607","±381","35.5%","±4.5"
"            High school graduate (includes equivalency)","19,947","±1,024","4,576","±632","22.9%","±2.5"
"            Some college, associate's degree","28,651","±1,409","4,655","±562","16.2%","±1.9"
"            Bachelor's degree or higher","20,070","±1,119","1,180","±260","5.9%","±1.2"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","62,671","±1,274","9,400","±890","15.0%","±1.4"
"            Employed","56,661","±1,348","6,757","±690","11.9%","±1.3"
"                Male","27,912","±1,044","2,733","±430","9.8%","±1.5"
"                Female","28,749","±1,089","4,024","±497","14.0%","±1.7"
"            Unemployed","6,010","±730","2,643","±507","44.0%","±6.5"
"                Male","3,159","±423","1,324","±303","41.9%","±8.3"
"                Female","2,851","±569","1,319","±378","46.3%","±10.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","92,804","±847","18,517","±1,219","20.0%","±1.3"
"            Worked full-time, year-round in the past 12 months","37,394","±1,354","1,783","±350","4.8%","±0.9"
"            Worked part-time or part-year in the past 12 months","26,772","±1,150","7,765","±814","29.0%","±2.7"
"            Did not work","28,638","±1,293","8,969","±838","31.3%","±2.3"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","11,592","±1,638","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","33,071","±1,913","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","39,148","±1,860","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","48,972","±2,115","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","54,210","±2,300","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","74,422","±2,171","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","92,207","±1,727","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","101,962","±1,343","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","36,743","±1,570","10,646","±860","29.0%","±2.0"
"    Male","18,248","±1,063","5,264","±572","28.8%","±2.7"
"    Female","18,495","±1,076","5,382","±643","29.1%","±2.6"
"    15 years","92","±79","92","±79","100.0%","±25.4"
"    16 to 17 years","93","±84","93","±84","100.0%","±25.2"
"    18 to 24 years","5,982","±625","2,895","±437","48.4%","±6.1"
"    25 to 34 years","9,730","±802","2,287","±395","23.5%","±3.7"
"    35 to 44 years","4,242","±479","1,148","±243","27.1%","±5.2"
"    45 to 54 years","4,575","±527","1,296","±298","28.3%","±5.2"
"    55 to 64 years","5,338","±567","1,578","±310","29.6%","±4.5"
"    65 to 74 years","4,100","±429","743","±180","18.1%","±4.0"
"    75 years and over","2,591","±469","514","±175","19.8%","±6.4"
"    Mean income deficit for unrelated individuals (dollars)","6,675","±350","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","15,558","±1,174","696","±182","4.5%","±1.1"
"    Worked less than full-time, year-round in the past 12 months","10,176","±784","4,301","±575","42.3%","±4.2"
"    Did not work","11,009","±920","5,649","±649","51.3%","±3.9"
